"网金社酒店代码"	"对应酒店代码"
"H00000950"	"576333000"
"H00000951"	"179494962"
"H00000952"	"42036653"
"H00000953"	"165541498"
"H00000954"	"5198713"
"H00000955"	"162890049"
"H00000956"	"81497829"
"H00000957"	"42523798"
"H00000958"	"6521130"
"H00000959"	"42570003"
"H00000960"	"164492086"
"H00000961"	"164517618"
"H00000962"	"164557236"
"H00000963"	"5359777"
"H00000964"	"1732511515"
"H00000965"	"164448872"
"H00000966"	"1229671471"
"H00000967"	"165385364"
"H00000968"	"6728520"
"H00000969"	"164555178"
"H00000970"	"160476104"
"H00000971"	"4095268"
"H00000972"	"192665210"
"H00000973"	"164405956"
"H00000974"	"164136321"
"H00000975"	"163115984"
"H00000976"	"150099183"
"H00000977"	"4389224"
"H00000978"	"973934108"
"H00000979"	"163446083"
"H00000980"	"6223177"
"H00000981"	"41836159"
"H00000982"	"164548105"
"H00000983"	"164331821"
"H00000984"	"164562635"
"H00000985"	"164353501"
"H00000986"	"164439551"
"H00000987"	"5012349"
"H00000988"	"161817431"
"H00000989"	"164446351"
"H00000990"	"6686206"
"H00000991"	"195133679"
"H00000992"	"65902677"
"H00000993"	"84616910"
"H00000994"	"50383439"
"H00000995"	"40679063"
"H00000996"	"41457945"
"H00000997"	"5967205"
"H00000998"	"164433496"
"H00000999"	"6349424"
"H00001000"	"67716537"
"H00001001"	"5285645"
"H00001002"	"6692775"
"H00001003"	"164657403"
"H00001004"	"152569079"
"H00001005"	"164623696"
"H00001006"	"91397798"
"H00001007"	"4237098"
"H00001008"	"160821234"
"H00001009"	"164571008"
"H00001010"	"67072411"
"H00001011"	"163483980"
"H00001012"	"4216767"
"H00001013"	"6881848"
"H00001014"	"1396525"
"H00001015"	"5658703"
"H00001016"	"2285686"
"H00001017"	"164331188"
"H00001018"	"164368047"
"H00001019"	"162055288"
"H00001020"	"1551707"
"H00001021"	"938524"
"H00001022"	"164649816"
"H00001023"	"5527801"
"H00001024"	"83906363"
"H00001025"	"165193004"
"H00001026"	"40167997"
"H00001027"	"4695570"
"H00001028"	"164644719"
"H00001029"	"164587567"
"H00001030"	"1018010088"
"H00001031"	"4623982"
"H00001032"	"1075460739"
"H00001033"	"164502071"
"H00001034"	"164678955"
"H00001035"	"165549127"
"H00001036"	"4536343"
"H00001037"	"6487345"
"H00001038"	"164727375"
"H00001039"	"164721470"
"H00001040"	"162978674"
"H00001041"	"4629766"
"H00001042"	"165316986"
"H00001043"	"1499003"
"H00001044"	"667010"
"H00001045"	"6467709"
"H00001046"	"164771196"
"H00001047"	"163262413"
"H00001048"	"164743614"
"H00001049"	"164815886"
"H00001050"	"164722437"
"H00001051"	"1181166943"
"H00001052"	"163411482"
"H00001053"	"6466210"
"H00001054"	"6407743"
"H00001055"	"2440420"
"H00001056"	"6339032"
"H00001057"	"164771793"
"H00001058"	"5094524"
"H00001059"	"195036881"
"H00001060"	"4681518"
"H00001061"	"6556740"
"H00001062"	"164773152"
"H00001063"	"164240652"
"H00001064"	"4742359"
"H00001065"	"187051050"
"H00001066"	"134510721"
"H00001067"	"42218914"
"H00001068"	"164694555"
"H00001069"	"6624544"
